Metric,Value
Game Duration,752.93 seconds
Average Ball Speed,64.55 pixels/frame
Maximum Ball Speed,688.28 pixels/frame
Ball in Front Court,11.4%
Ball in Middle Court,59.0%
Ball in Back Court,29.6%
Ball on Left Side,62.2%
Ball on Right Side,37.8%
Player 1 Total Movement,203960.96 pixels
Player 1 in Front Court,0.0%
Player 1 in Middle Court,82.2%
Player 1 in Back Court,17.8%
Player 1 on Left Side,60.2%
Player 1 on Right Side,39.8%
Player 2 Total Movement,218997.48 pixels
Player 2 in Front Court,0.0%
Player 2 in Middle Court,78.0%
Player 2 in Back Court,22.0%
Player 2 on Left Side,65.1%
Player 2 on Right Side,34.9%
Player 1 Avg Reaction Time,0.16 seconds
Player 2 Avg Reaction Time,0.18 seconds
Estimated Shot Count,1256
Average Rally Length,53.3 shots
Longest Rally,258 shots
