frame,time_sec,player_id,x,y,confidence,keypoints,court_region,court_side
0,0.0,1,1476.5,668.5,0.912200927734375,"[[1399.835205078125, 556.6879272460938, 0.8481191992759705], [1399.5897216796875, 547.5964965820312, 0.7923510074615479], [0.0, 0.0, 0.2737087309360504], [1410.3946533203125, 537.130859375, 0.8392772674560547], [0.0, 0.0, 0.09098302572965622], [1447.552978515625, 543.5256958007812, 0.9947622418403625], [1439.99609375, 568.335693359375, 0.9790145754814148], [1494.521728515625, 567.5145874023438, 0.986316978931427], [1479.1815185546875, 631.5413208007812, 0.877169668674469], [1506.9390869140625, 616.8375244140625, 0.9734740853309631], [1480.598388671875, 691.9926147460938, 0.8467064499855042], [1521.9827880859375, 608.14990234375, 0.9977739453315735], [1518.156982421875, 619.6146850585938, 0.995722770690918], [1516.0118408203125, 701.1536865234375, 0.9949477910995483], [1520.004150390625, 705.7509765625, 0.9886071085929871], [1507.566162109375, 795.982177734375, 0.9713059663772583], [1533.115478515625, 783.3792724609375, 0.9521267414093018]]",Middle,Right
0,0.0,2,373.0,666.0,0.9045666456222534,"[[0.0, 0.0, 0.0267927348613739], [0.0, 0.0, 0.012747354805469513], [0.0, 0.0, 0.015387757681310177], [341.02325439453125, 482.96075439453125, 0.6650211811065674], [379.300048828125, 481.8975830078125, 0.7447077035903931], [326.4942932128906, 523.4195556640625, 0.9971798658370972], [411.3877258300781, 521.1220092773438, 0.9974397420883179], [309.7816162109375, 592.6177978515625, 0.9527328610420227], [446.0517578125, 587.66552734375, 0.9687179327011108], [303.3992919921875, 592.0572509765625, 0.6792283058166504], [409.19049072265625, 596.8524780273438, 0.7547343969345093], [352.601806640625, 643.2843017578125, 0.999806821346283], [407.819091796875, 642.91015625, 0.999812662601471], [354.7017822265625, 740.3226318359375, 0.9991965889930725], [402.1053771972656, 742.1090698242188, 0.999232292175293], [368.4763488769531, 831.0911865234375, 0.9965691566467285], [396.084228515625, 838.4315185546875, 0.9965509176254272]]",Middle,Left
1,0.03333333333333333,1,1473.4469,668.0754,0.9149743914604187,"[[1397.04833984375, 557.3588256835938, 0.8214179873466492], [1396.3443603515625, 548.38671875, 0.7556179761886597], [0.0, 0.0, 0.24251650273799896], [1406.4208984375, 537.5350952148438, 0.8158268928527832], [0.0, 0.0, 0.08932115882635117], [1445.9111328125, 544.075439453125, 0.9943641424179077], [1437.7803955078125, 565.2158203125, 0.9735050201416016], [1494.65185546875, 568.5306396484375, 0.9857127666473389], [1477.5701904296875, 624.7461547851562, 0.8438358306884766], [1507.090087890625, 617.3033447265625, 0.9713351726531982], [1479.937255859375, 689.9990234375, 0.8119245767593384], [1521.09912109375, 609.8729248046875, 0.9977372884750366], [1517.208740234375, 619.4454345703125, 0.9953061938285828], [1510.9178466796875, 702.96630859375, 0.9953267574310303], [1517.3221435546875, 704.588134765625, 0.9884023070335388], [1503.7730712890625, 799.76416015625, 0.9749543070793152], [1534.7110595703125, 784.7122192382812, 0.9549223780632019]]",Middle,Right
1,0.03333333333333333,2,369.93863,665.5468,0.9028638005256653,"[[0.0, 0.0, 0.028166532516479492], [0.0, 0.0, 0.014096220023930073], [0.0, 0.0, 0.015797078609466553], [338.221923828125, 480.24481201171875, 0.6955150365829468], [376.5685119628906, 479.7711181640625, 0.7431042194366455], [323.76953125, 520.8079223632812, 0.9975945353507996], [408.38592529296875, 520.5865478515625, 0.9975722432136536], [307.81854248046875, 590.5548706054688, 0.9626711010932922], [443.0038146972656, 585.3539428710938, 0.972321093082428], [296.9068908691406, 594.5148315429688, 0.7280328273773193], [407.2113037109375, 585.6741943359375, 0.7831974029541016], [347.1244201660156, 644.572509765625, 0.9998297691345215], [402.55389404296875, 645.3140869140625, 0.9998255372047424], [347.9571838378906, 740.5089111328125, 0.9992483258247375], [398.03515625, 745.5831298828125, 0.9992456436157227], [364.7146301269531, 833.96044921875, 0.9966153502464294], [394.9413757324219, 844.653076171875, 0.9964513778686523]]",Middle,Left
2,0.06666666666666667,1,1472.148,666.8357,0.9120896458625793,"[[1392.7216796875, 555.27587890625, 0.8488448858261108], [1392.5576171875, 546.2772216796875, 0.7905139923095703], [0.0, 0.0, 0.26191675662994385], [1404.0294189453125, 536.1488037109375, 0.8241969347000122], [0.0, 0.0, 0.0832299217581749], [1444.623046875, 544.0748901367188, 0.9945553541183472], [1434.7044677734375, 562.6747436523438, 0.9695111513137817], [1494.4716796875, 569.5906372070312, 0.9859657883644104], [1477.5184326171875, 622.0614624023438, 0.8083963990211487], [1506.49169921875, 619.140625, 0.9718918800354004], [1481.12109375, 687.7699584960938, 0.7841288447380066], [1520.4453125, 609.6336669921875, 0.9973064661026001], [1515.2882080078125, 617.564453125, 0.9938840270042419], [1508.149658203125, 704.37646484375, 0.994438648223877], [1514.1700439453125, 702.2821655273438, 0.9846254587173462], [1498.49755859375, 800.2102661132812, 0.9697562456130981], [1534.04150390625, 779.600830078125, 0.9416414499282837]]",Middle,Right
2,0.06666666666666667,2,365.53424,665.0871,0.8946038484573364,"[[0.0, 0.0, 0.02716459333896637], [0.0, 0.0, 0.01552205067127943], [0.0, 0.0, 0.012824062258005142], [335.27386474609375, 477.6422424316406, 0.7197719216346741], [374.10009765625, 476.70916748046875, 0.6915206909179688], [322.14306640625, 516.84423828125, 0.9984645843505859], [408.6143798828125, 517.2693481445312, 0.9962931275367737], [307.5703430175781, 585.8834228515625, 0.9834644794464111], [438.85174560546875, 581.619873046875, 0.9590331315994263], [287.2820739746094, 599.651611328125, 0.8451275825500488], [410.95660400390625, 581.9638671875, 0.7474899888038635], [348.8111267089844, 643.6109619140625, 0.999775230884552], [406.72760009765625, 643.993896484375, 0.9996434450149536], [341.22222900390625, 739.8804931640625, 0.9977039694786072], [396.702392578125, 744.9138793945312, 0.9963245987892151], [352.8636474609375, 838.1764526367188, 0.9843462705612183], [395.0600280761719, 847.2028198242188, 0.9768022894859314]]",Middle,Left
3,0.1,1,1471.813,666.4348,0.9120445251464844,"[[1392.7176513671875, 555.27294921875, 0.8492580056190491], [1392.5556640625, 546.2765502929688, 0.7909806370735168], [0.0, 0.0, 0.26266080141067505], [1404.0240478515625, 536.1453857421875, 0.8242502212524414], [0.0, 0.0, 0.08337762951850891], [1444.600830078125, 544.0595703125, 0.994560182094574], [1434.6734619140625, 562.6483764648438, 0.9695774912834167], [1494.4486083984375, 569.5866088867188, 0.9859691858291626], [1477.5008544921875, 622.0419921875, 0.8087700009346008], [1506.49609375, 619.1087036132812, 0.9719005823135376], [1481.099365234375, 687.7958374023438, 0.7844502925872803], [1520.4383544921875, 609.6154174804688, 0.9973084926605225], [1515.264892578125, 617.543212890625, 0.9938926696777344], [1508.1800537109375, 704.345947265625, 0.994440495967865], [1514.140625, 702.245849609375, 0.9846428036689758], [1498.606689453125, 800.2172241210938, 0.9697650074958801], [1533.974853515625, 779.6160888671875, 0.9416905641555786]]",Middle,Right
3,0.1,2,364.21417,664.97437,0.8946542143821716,"[[0.0, 0.0, 0.027163194492459297], [0.0, 0.0, 0.015519509091973305], [0.0, 0.0, 0.012827437371015549], [335.27252197265625, 477.64532470703125, 0.7197180390357971], [374.09613037109375, 476.7073059082031, 0.6915765404701233], [322.1470031738281, 516.8547973632812, 0.9984627962112427], [408.6112060546875, 517.274169921875, 0.9962942004203796], [307.5622253417969, 585.8787841796875, 0.9834290146827698], [438.8407287597656, 581.6474609375, 0.9590224623680115], [287.2763366699219, 599.5390625, 0.8448644280433655], [410.9127197265625, 581.9532470703125, 0.7473614811897278], [348.8222961425781, 643.6635131835938, 0.9997751116752625], [406.7327880859375, 644.0360107421875, 0.9996433258056641], [341.19451904296875, 739.970947265625, 0.9977021813392639], [396.66778564453125, 744.9608154296875, 0.9963240623474121], [352.8562927246094, 838.2913818359375, 0.9843382239341736], [395.0497741699219, 847.2515258789062, 0.9768020510673523]]",Middle,Left
4,0.13333333333333333,1,1469.1663,665.2477,0.9200959801673889,"[[1388.3427734375, 551.6123657226562, 0.8571114540100098], [1388.64208984375, 542.5933227539062, 0.8114871978759766], [0.0, 0.0, 0.2732143700122833], [1400.3662109375, 533.1904907226562, 0.8262922167778015], [0.0, 0.0, 0.07790949195623398], [1441.6318359375, 542.7889404296875, 0.9943423271179199], [1430.7010498046875, 556.5999145507812, 0.957964301109314], [1493.603515625, 570.296142578125, 0.9851511120796204], [1476.0362548828125, 611.8960571289062, 0.7237536311149597], [1501.321044921875, 620.1834106445312, 0.9698124527931213], [1474.3463134765625, 677.3128662109375, 0.7154504060745239], [1516.4454345703125, 605.7529296875, 0.9971598386764526], [1510.4132080078125, 611.1056518554688, 0.9925935864448547], [1499.5732421875, 702.772216796875, 0.9952890872955322], [1504.01611328125, 697.8145751953125, 0.9845603704452515], [1496.427734375, 802.32177734375, 0.9772090911865234], [1528.90185546875, 779.7343139648438, 0.949608325958252]]",Middle,Right
4,0.13333333333333333,2,359.891,664.1942,0.8831480145454407,"[[0.0, 0.0, 0.03684552386403084], [0.0, 0.0, 0.019262002781033516], [0.0, 0.0, 0.017913075163960457], [332.8907470703125, 476.44415283203125, 0.7202518582344055], [370.0180969238281, 475.94219970703125, 0.7205424308776855], [320.0487060546875, 515.6888427734375, 0.9986491799354553], [404.2391052246094, 515.7276611328125, 0.9967272281646729], [305.52618408203125, 584.913330078125, 0.9854861497879028], [438.01373291015625, 578.0313110351562, 0.9651749730110168], [281.63702392578125, 598.9898071289062, 0.8709118366241455], [416.893798828125, 578.7171630859375, 0.7898873090744019], [346.2461853027344, 639.55810546875, 0.9998086094856262], [402.941162109375, 640.0029296875, 0.9996956586837769], [338.67596435546875, 735.8878784179688, 0.9982865452766418], [397.1287841796875, 741.3262939453125, 0.9972497820854187], [342.7887268066406, 834.1327514648438, 0.9885843992233276], [393.9842529296875, 845.0919189453125, 0.9828997254371643]]",Middle,Left
