Metric,Value
Game Duration,60.10 seconds
Average Ball Speed,627235.58 pixels/frame
Maximum Ball Speed,13491731.39 pixels/frame
Ball in Front Court,20.0%
Ball in Middle Court,57.5%
Ball in Back Court,22.5%
Ball on Left Side,46.2%
Ball on Right Side,53.8%
Player 1 Total Movement,16273.81 pixels
Player 1 in Front Court,0.0%
Player 1 in Middle Court,77.6%
Player 1 in Back Court,22.4%
Player 1 on Left Side,75.3%
Player 1 on Right Side,24.7%
Player 2 Total Movement,16077.28 pixels
Player 2 in Front Court,0.0%
Player 2 in Middle Court,85.2%
Player 2 in Back Court,14.8%
Player 2 on Left Side,62.3%
Player 2 on Right Side,37.7%
Player 1 Avg Reaction Time,1.17 seconds
Player 2 Avg Reaction Time,0.98 seconds
Estimated Shot Count,12
Average Rally Length,N/A
Longest Rally,N/A
