frame,time_sec,player_id,x,y,confidence,keypoints,court_region,court_side
0,0.0,1,938.0,637.0,0.8844369649887085,"[[0.0, 0.0, 0.04245844483375549], [0.0, 0.0, 0.01594178006052971], [0.0, 0.0, 0.028945788741111755], [895.5075073242188, 492.9049987792969, 0.7266919016838074], [932.5274047851562, 494.40374755859375, 0.8557324409484863], [877.72607421875, 527.9874877929688, 0.9967051148414612], [955.0006103515625, 530.8968505859375, 0.9979490637779236], [836.2322998046875, 567.5545043945312, 0.9598968029022217], [985.8218994140625, 580.989990234375, 0.9906277656555176], [831.865478515625, 581.02880859375, 0.8082047700881958], [1009.87451171875, 623.0847778320312, 0.9286035299301147], [894.1078491210938, 622.8406982421875, 0.9991945624351501], [951.7569580078125, 624.8626708984375, 0.9992949962615967], [881.0839233398438, 694.1890869140625, 0.9953556060791016], [997.09912109375, 695.8370971679688, 0.9964246153831482], [854.4702758789062, 770.375, 0.9791984558105469], [1024.2891845703125, 773.2786865234375, 0.9821081757545471]]",Middle,Left
0,0.0,2,815.0,589.5,0.7765445113182068,"[[874.83642578125, 474.601318359375, 0.6364390850067139], [0.0, 0.0, 0.12270470708608627], [871.9217529296875, 468.7601623535156, 0.764634370803833], [0.0, 0.0, 0.03988337889313698], [860.2269287109375, 468.8539123535156, 0.9203726053237915], [852.7454833984375, 495.66827392578125, 0.8215913772583008], [834.8036499023438, 492.5596923828125, 0.9927855730056763], [0.0, 0.0, 0.11658405512571335], [799.1339111328125, 518.3223266601562, 0.965039074420929], [0.0, 0.0, 0.10246538370847702], [794.2399291992188, 530.8499755859375, 0.8692715764045715], [842.895263671875, 576.83154296875, 0.9614605903625488], [830.306640625, 575.3693237304688, 0.9926875829696655], [833.6672973632812, 646.8582763671875, 0.9364069700241089], [828.0439453125, 642.9462280273438, 0.9890897870063782], [790.63232421875, 706.7861938476562, 0.9163498282432556], [785.14794921875, 703.3286743164062, 0.9766908288002014]]",Middle,Left
1,0.03333333333333333,1,949.2859,642.6469,0.8885325193405151,"[[0.0, 0.0, 0.04048435389995575], [0.0, 0.0, 0.016216307878494263], [0.0, 0.0, 0.0234711691737175], [903.7344360351562, 507.3652038574219, 0.7543704509735107], [942.0947265625, 508.89666748046875, 0.8414715528488159], [887.937255859375, 542.824462890625, 0.9978088736534119], [963.151611328125, 547.09619140625, 0.9977071285247803], [848.6673583984375, 580.9866943359375, 0.9783709049224854], [996.461181640625, 597.848876953125, 0.9876667261123657], [830.2501220703125, 604.930419921875, 0.8794039487838745], [1025.607421875, 639.1438598632812, 0.9163647294044495], [901.1507568359375, 633.1568603515625, 0.9993751645088196], [957.599853515625, 635.3067626953125, 0.9992781281471252], [890.0403442382812, 702.5775756835938, 0.9961256384849548], [1009.99365234375, 702.1640625, 0.995858371257782], [859.081298828125, 778.8758544921875, 0.9793755412101746], [1037.70556640625, 774.49609375, 0.9774391055107117]]",Middle,Left
1,0.03333333333333333,2,821.5125,588.63916,0.7699394822120667,"[[0.0, 0.0, 0.23323595523834229], [0.0, 0.0, 0.07897131145000458], [0.0, 0.0, 0.19689276814460754], [0.0, 0.0, 0.3309969902038574], [870.53955078125, 472.54229736328125, 0.8124713897705078], [822.063720703125, 490.1395568847656, 0.992923378944397], [870.2206420898438, 501.63336181640625, 0.9811113476753235], [786.9659423828125, 516.0733032226562, 0.9156054854393005], [858.5430908203125, 537.5536499023438, 0.7375232577323914], [779.9317626953125, 556.0204467773438, 0.6696016192436218], [0.0, 0.0, 0.40886491537094116], [804.551513671875, 572.0420532226562, 0.9978477954864502], [834.8126220703125, 575.9571533203125, 0.9963665008544922], [821.873291015625, 641.2611694335938, 0.9933643341064453], [837.2598266601562, 644.12744140625, 0.9876047372817993], [799.8475341796875, 699.2539672851562, 0.9835414290428162], [795.888671875, 698.6705322265625, 0.9717906713485718]]",Middle,Left
2,0.06666666666666667,1,954.29175,654.2885,0.8854517936706543,"[[0.0, 0.0, 0.10177338123321533], [0.0, 0.0, 0.05979057401418686], [0.0, 0.0, 0.02029217779636383], [918.0089111328125, 531.3883666992188, 0.9115374088287354], [0.0, 0.0, 0.49031126499176025], [896.144775390625, 563.4267578125, 0.9983177185058594], [973.0841674804688, 562.0849609375, 0.9966037273406982], [858.608642578125, 607.1741943359375, 0.9885326623916626], [1000.6463623046875, 611.2515258789062, 0.978824257850647], [838.8096923828125, 640.447021484375, 0.9400807023048401], [1030.3780517578125, 657.25830078125, 0.9087406992912292], [904.7924194335938, 655.1065063476562, 0.9990711212158203], [965.55126953125, 654.0531616210938, 0.9986314177513123], [875.1573486328125, 706.3649291992188, 0.9952234625816345], [1022.042236328125, 702.8651123046875, 0.9935441017150879], [843.0772705078125, 783.6666259765625, 0.9749643802642822], [1052.6083984375, 775.4064331054688, 0.9687784314155579]]",Middle,Left
2,0.06666666666666667,2,811.28986,595.9248,0.7572325468063354,"[[0.0, 0.0, 0.25226303935050964], [0.0, 0.0, 0.08032533526420593], [0.0, 0.0, 0.16303126513957977], [0.0, 0.0, 0.29411280155181885], [870.9708251953125, 470.93731689453125, 0.7874029874801636], [820.4652099609375, 490.25506591796875, 0.9954989552497864], [871.90576171875, 501.1795349121094, 0.9708117842674255], [784.3087158203125, 520.0686645507812, 0.9707614779472351], [853.44580078125, 536.54736328125, 0.6312835812568665], [758.5185546875, 560.296142578125, 0.8759382367134094], [0.0, 0.0, 0.4195842146873474], [808.3345947265625, 569.5751953125, 0.9980918765068054], [844.7694091796875, 573.8900146484375, 0.9945976734161377], [804.1561889648438, 640.052978515625, 0.9957596659660339], [851.2027587890625, 645.6220703125, 0.9842582941055298], [787.4769287109375, 712.6762084960938, 0.9854153990745544], [842.672119140625, 713.3684692382812, 0.9583166837692261]]",Middle,Left
3,0.1,1,955.40344,657.6111,0.8844373822212219,"[[0.0, 0.0, 0.10170482844114304], [0.0, 0.0, 0.05970795080065727], [0.0, 0.0, 0.02019272930920124], [918.06640625, 531.4044799804688, 0.9118771553039551], [0.0, 0.0, 0.489391952753067], [896.20654296875, 563.4615478515625, 0.9983249306678772], [973.1419677734375, 562.1080322265625, 0.996616542339325], [858.617431640625, 607.2761840820312, 0.988591730594635], [1000.7349243164062, 611.486328125, 0.9789567589759827], [838.5536499023438, 640.52783203125, 0.9403979182243347], [1030.48681640625, 657.6441650390625, 0.9092795252799988], [904.782470703125, 655.2166748046875, 0.9990750551223755], [965.57177734375, 654.1272583007812, 0.9986366629600525], [874.9685668945312, 706.5723266601562, 0.9952332377433777], [1022.1690673828125, 702.9512939453125, 0.9935543537139893], [842.5455322265625, 783.8385009765625, 0.9749309420585632], [1052.677978515625, 775.37451171875, 0.9687345623970032]]",Middle,Left
3,0.1,2,808.24945,597.8389,0.757143497467041,"[[0.0, 0.0, 0.2522520422935486], [0.0, 0.0, 0.08037050813436508], [0.0, 0.0, 0.16303497552871704], [0.0, 0.0, 0.29454055428504944], [870.9390869140625, 470.9363708496094, 0.7875800728797913], [820.4442138671875, 490.286376953125, 0.9955046772956848], [871.88232421875, 501.19622802734375, 0.9708325862884521], [784.26513671875, 520.1561889648438, 0.9707655906677246], [853.4176025390625, 536.511474609375, 0.6308352947235107], [758.3904418945312, 560.4207763671875, 0.8758028745651245], [0.0, 0.0, 0.41893187165260315], [808.3163452148438, 569.642333984375, 0.9980877041816711], [844.7596435546875, 573.9678344726562, 0.9945846199989319], [804.11376953125, 640.0680541992188, 0.9957402944564819], [851.2679443359375, 645.7257080078125, 0.9841827750205994], [787.4833374023438, 712.5220947265625, 0.985342264175415], [842.84716796875, 713.388427734375, 0.9580986499786377]]",Middle,Left
4,0.13333333333333333,1,962.72034,662.85443,0.8999367356300354,"[[0.0, 0.0, 0.04354364797472954], [0.0, 0.0, 0.01364848855882883], [0.0, 0.0, 0.026057029142975807], [929.9803466796875, 546.5260009765625, 0.7014972567558289], [966.3583984375, 547.5332641601562, 0.8285390138626099], [907.6994018554688, 576.6743774414062, 0.9975321292877197], [981.474609375, 577.17138671875, 0.9972670078277588], [870.9483642578125, 621.2557373046875, 0.9790737628936768], [1016.0765380859375, 625.977294921875, 0.9903976917266846], [849.5850219726562, 654.2247314453125, 0.8890248537063599], [1047.4881591796875, 671.603271484375, 0.941403865814209], [908.39794921875, 667.8298950195312, 0.9989897608757019], [966.7576904296875, 667.12744140625, 0.998849630355835], [882.4747924804688, 708.78955078125, 0.993194580078125], [1025.3515625, 704.705810546875, 0.9934977293014526], [853.9560546875, 784.4412231445312, 0.9690662026405334], [1057.5521240234375, 778.7645874023438, 0.9683796167373657]]",Middle,Right
4,0.13333333333333333,2,804.95667,599.3789,0.7943098545074463,"[[0.0, 0.0, 0.29471278190612793], [0.0, 0.0, 0.10138030350208282], [0.0, 0.0, 0.1961856186389923], [0.0, 0.0, 0.3181556761264801], [873.7791137695312, 470.8319091796875, 0.803642988204956], [824.156005859375, 488.29949951171875, 0.9964421391487122], [873.8281860351562, 500.7369384765625, 0.9729586243629456], [782.16748046875, 514.1340942382812, 0.9748808741569519], [847.5972900390625, 533.283203125, 0.6157762408256531], [747.9707641601562, 560.8994750976562, 0.8893893957138062], [0.0, 0.0, 0.41529375314712524], [809.121337890625, 571.9736938476562, 0.9988088607788086], [843.40478515625, 576.4441528320312, 0.9963639378547668], [804.375, 645.7223510742188, 0.9977960586547852], [843.8058471679688, 652.2767333984375, 0.9909672141075134], [786.03564453125, 717.8062744140625, 0.9930873513221741], [830.23974609375, 719.2864379882812, 0.9783713817596436]]",Middle,Left
