frame,time,x,y,mask_area
0,0.0,1130,422,99
1,0.03333333333333333,1152,424,98
2,0.06666666666666667,1173,430,150
3,0.1,1173,430,146
4,0.13333333333333333,1196,438,177
5,0.16666666666666666,1220,449,158
6,0.2,1246,463,183
7,0.23333333333333334,1274,481,203
8,0.26666666666666666,1303,500,218
9,0.3,1303,500,220
10,0.3333333333333333,1335,525,249
11,0.36666666666666664,1365,554,310
12,0.4,1399,584,209
13,0.43333333333333335,1440,627,316
14,0.4666666666666667,1480,671,334
15,0.5,1480,671,293
16,0.5333333333333333,1518,716,256
18,0.6,1617,839,330
19,0.6333333333333333,1649,829,239
20,0.6666666666666666,1679,812,269
21,0.7,1679,812,277
22,0.7333333333333333,1710,798,247
23,0.7666666666666667,1746,787,327
24,0.8,1755,776,170
25,0.8333333333333334,1755,767,166
26,0.8666666666666667,1755,761,149
27,0.9,1755,761,148
28,0.9333333333333333,1755,759,156
29,0.9666666666666667,1755,762,151
30,1.0,1754,768,158
31,1.0333333333333334,1754,780,181
32,1.0666666666666667,1753,795,206
33,1.1,1753,795,202
34,1.1333333333333333,1752,817,235
35,1.1666666666666667,1752,843,335
36,1.2,1728,884,420
44,1.4666666666666666,1354,423,131
45,1.5,1353,424,162
50,1.6666666666666667,1382,436,93
51,1.7,1382,436,128
52,1.7333333333333334,1392,448,121
53,1.7666666666666666,1402,463,119
54,1.8,1414,481,140
55,1.8333333333333333,1425,502,146
56,1.8666666666666667,1436,527,194
57,1.9,1436,527,189
58,1.9333333333333333,1449,554,221
59,1.9666666666666666,1463,587,283
60,2.0,1476,625,241
61,2.033333333333333,1491,668,296
62,2.066666666666667,1506,715,317
63,2.1,1506,715,283
64,2.1333333333333333,1522,768,309
65,2.1666666666666665,1535,762,192
68,2.2666666666666666,1561,721,151
69,2.3,1561,720,133
70,2.3333333333333335,1571,712,130
71,2.3666666666666667,1593,730,210
78,2.6,1203,521,1711
79,2.6333333333333333,1237,594,331
80,2.6666666666666665,1223,596,400
81,2.7,1223,596,417
82,2.7333333333333334,1211,602,416
83,2.7666666666666666,1200,610,426
84,2.8,1192,617,386
90,3.0,1202,575,229
94,3.1333333333333333,1176,605,1469
95,3.1666666666666665,1165,604,1682
96,3.2,1157,614,1313
97,3.2333333333333334,1150,638,450
100,3.3333333333333335,1104,605,1909
101,3.3666666666666667,1090,603,1902
102,3.4,1077,600,1777
103,3.433333333333333,1065,594,1865
104,3.466666666666667,1055,585,1770
105,3.5,1055,585,1804
106,3.533333333333333,1044,575,1806
107,3.566666666666667,1035,567,1792
108,3.6,1026,563,1675
109,3.6333333333333333,1017,565,1777
110,3.6666666666666665,1007,567,1673
111,3.7,1007,567,1683
112,3.7333333333333334,998,576,1646
113,3.7666666666666666,988,585,1555
114,3.8,979,603,1606
115,3.8333333333333335,972,619,1572
116,3.8666666666666667,969,634,1687
117,3.9,969,634,1693
118,3.933333333333333,969,639,1743
119,3.966666666666667,973,640,1675
120,4.0,982,640,1894
121,4.033333333333333,993,633,2133
122,4.066666666666666,1009,625,2248
123,4.1,1009,625,2329
124,4.133333333333334,1023,615,2317
125,4.166666666666667,1039,605,2404
126,4.2,1051,593,2410
127,4.233333333333333,1064,585,2413
128,4.266666666666667,1076,580,2496
129,4.3,1076,580,2516
130,4.333333333333333,1085,575,2407
131,4.366666666666666,1099,576,2336
132,4.4,1113,581,2372
133,4.433333333333334,1128,587,2321
134,4.466666666666667,1140,592,2249
135,4.5,1140,592,2283
136,4.533333333333333,1156,596,2246
137,4.566666666666666,1177,602,1793
138,4.6,1180,601,2006
139,4.633333333333334,1190,595,2144
140,4.666666666666667,1197,586,2128
141,4.7,1198,586,2098
142,4.733333333333333,1197,571,2408
143,4.766666666666667,1204,564,2154
144,4.8,1209,551,2204
145,4.833333333333333,1215,537,2116
146,4.866666666666666,1222,521,1706
147,4.9,1222,521,1957
148,4.933333333333334,1227,510,2570
149,4.966666666666667,1268,489,4982
150,5.0,1247,468,2563
151,5.033333333333333,1236,476,2127
152,5.066666666666666,1221,511,2423
153,5.1,1220,510,2453
154,5.133333333333334,1196,537,1534
155,5.166666666666667,1177,564,1122
158,5.266666666666667,1137,581,651
159,5.3,1137,581,666
166,5.533333333333333,615,267,224
167,5.566666666666666,572,283,297
168,5.6,527,303,293
169,5.633333333333334,479,326,371
170,5.666666666666667,429,356,436
171,5.7,429,356,441
172,5.733333333333333,372,388,458
174,5.8,343,448,256
175,5.833333333333333,362,479,173
178,5.933333333333334,396,551,307
179,5.966666666666667,416,595,357
180,6.0,436,645,370
181,6.033333333333333,457,700,365
182,6.066666666666666,478,763,541
183,6.1,478,763,539
185,6.166666666666667,356,824,532
198,6.6,511,389,122
199,6.633333333333334,491,397,165
200,6.666666666666667,469,409,171
201,6.7,469,409,168
202,6.733333333333333,447,423,173
203,6.766666666666667,423,440,250
204,6.8,398,463,241
205,6.833333333333333,374,486,134
206,6.866666666666666,342,523,230
207,6.9,341,523,219
208,6.933333333333334,314,556,287
209,6.966666666666667,281,597,387
210,7.0,255,641,387
211,7.033333333333333,240,685,302
212,7.066666666666666,223,735,431
213,7.1,223,735,432
214,7.133333333333334,206,791,470
215,7.166666666666667,187,854,511
217,7.233333333333333,163,901,212
218,7.266666666666667,159,879,167
219,7.3,159,879,166
220,7.333333333333333,155,862,181
221,7.366666666666666,152,849,193
222,7.4,149,840,171
223,7.433333333333334,145,834,191
224,7.466666666666667,142,832,175
225,7.5,142,832,171
226,7.533333333333333,138,836,203
227,7.566666666666666,135,843,218
228,7.6,131,856,236
229,7.633333333333334,128,876,338
230,7.666666666666667,130,889,264
231,7.7,130,889,259
232,7.733333333333333,147,882,287
233,7.766666666666667,167,879,245
234,7.8,186,880,227
235,7.833333333333333,203,886,197
