frame,time,x,y,mask_area
0,0.0,1135,419,178
1,0.03333333333333333,1148,420,161
2,0.06666666666666667,1174,430,159
3,0.1,1174,430,159
4,0.13333333333333333,1197,438,191
5,0.16666666666666666,1221,449,166
6,0.2,1247,464,188
7,0.23333333333333334,1275,480,199
8,0.26666666666666666,1304,501,225
9,0.3,1304,501,223
10,0.3333333333333333,1335,525,262
11,0.36666666666666664,1365,554,375
12,0.4,1401,587,280
13,0.43333333333333335,1440,627,337
14,0.4666666666666667,1480,671,420
15,0.5,1480,671,418
16,0.5333333333333333,1519,718,383
17,0.5666666666666667,1572,682,173
18,0.6,1571,684,182
19,0.6333333333333333,1634,802,331
20,0.6666666666666666,1656,786,332
21,0.7,1632,761,398
22,0.7333333333333333,1711,798,205
23,0.7666666666666667,1747,787,255
24,0.8,1755,776,122
25,0.8333333333333334,1756,767,153
26,0.8666666666666667,1755,761,124
27,0.9,1755,761,142
28,0.9333333333333333,1755,759,154
29,0.9666666666666667,1755,761,118
30,1.0,1754,768,147
31,1.0333333333333334,1754,779,180
32,1.0666666666666667,1753,796,201
33,1.1,1753,796,209
34,1.1333333333333333,1752,816,253
35,1.1666666666666667,1751,842,344
36,1.2,1730,882,398
42,1.4,1182,695,620
43,1.4333333333333333,1377,443,185
44,1.4666666666666666,1353,423,134
45,1.5,1353,423,166
46,1.5333333333333334,1345,414,73
47,1.5666666666666667,1353,416,59
48,1.6,1363,420,100
49,1.6333333333333333,1372,427,92
50,1.6666666666666667,1382,436,134
51,1.7,1382,436,133
52,1.7333333333333334,1392,448,111
53,1.7666666666666666,1402,463,130
54,1.8,1414,481,152
55,1.8333333333333333,1425,502,172
56,1.8666666666666667,1437,527,211
57,1.9,1437,526,172
58,1.9333333333333333,1449,554,241
59,1.9666666666666666,1461,585,220
60,2.0,1477,626,237
61,2.033333333333333,1491,669,323
62,2.066666666666667,1508,716,337
63,2.1,1508,716,330
64,2.1333333333333333,1522,767,290
65,2.1666666666666665,1534,762,169
68,2.2666666666666666,1562,721,154
69,2.3,1562,724,229
70,2.3333333333333335,1571,711,98
71,2.3666666666666667,1593,728,248
77,2.566666666666667,1224,530,2162
78,2.6,1201,523,2381
79,2.6333333333333333,1184,528,2733
80,2.6666666666666665,1168,537,2461
81,2.7,1168,538,2444
82,2.7333333333333334,1161,543,1106
83,2.7666666666666666,1157,585,578
84,2.8,1138,589,1433
85,2.8333333333333335,961,513,223
86,2.8666666666666667,931,525,210
87,2.9,931,526,179
88,2.933333333333333,901,544,441
90,3.0,1135,443,705
91,3.033333333333333,1140,422,355
92,3.066666666666667,1141,420,358
93,3.1,1140,421,382
94,3.1333333333333333,1136,423,240
95,3.1666666666666665,1080,469,548
96,3.2,995,515,289
97,3.2333333333333334,986,523,321
98,3.2666666666666666,1026,495,225
99,3.3,996,516,249
100,3.3333333333333335,1020,500,272
101,3.3666666666666667,1010,482,583
102,3.4,1139,420,319
103,3.433333333333333,1138,451,915
104,3.466666666666667,1138,446,815
105,3.5,1139,449,921
106,3.533333333333333,1139,449,857
107,3.566666666666667,1139,451,820
108,3.6,1139,450,963
109,3.6333333333333333,1139,449,991
111,3.7,1139,439,721
112,3.7333333333333334,1139,440,781
113,3.7666666666666666,1139,442,859
118,3.933333333333333,1140,422,388
119,3.966666666666667,838,404,277
120,4.0,721,343,462
121,4.033333333333333,764,295,408
122,4.066666666666666,801,253,150
123,4.1,802,253,166
124,4.133333333333334,1134,406,85
125,4.166666666666667,1141,410,87
126,4.2,1141,410,92
127,4.233333333333333,1141,410,93
128,4.266666666666667,1141,410,93
129,4.3,1141,410,94
130,4.333333333333333,1141,410,93
131,4.366666666666666,1141,410,93
132,4.4,1141,410,93
133,4.433333333333334,1141,410,93
134,4.466666666666667,1140,410,99
135,4.5,1140,410,99
136,4.533333333333333,1141,410,93
137,4.566666666666666,1141,410,95
138,4.6,1141,410,100
139,4.633333333333334,1141,410,95
140,4.666666666666667,1141,410,94
141,4.7,1140,412,150
142,4.733333333333333,1140,411,144
143,4.766666666666667,1140,411,129
144,4.8,1140,411,126
145,4.833333333333333,1141,411,125
146,4.866666666666666,1142,417,99
147,4.9,1141,413,105
148,4.933333333333334,1141,410,107
149,4.966666666666667,1141,411,111
150,5.0,1141,411,103
151,5.033333333333333,1141,411,110
152,5.066666666666666,1140,411,131
153,5.1,1140,411,136
154,5.133333333333334,1141,411,143
155,5.166666666666667,1140,410,99
235,7.833333333333333,1140,416,251
246,8.2,602,679,4918
247,8.233333333333333,653,491,185
248,8.266666666666667,657,486,81
249,8.3,656,489,73
250,8.333333333333334,650,487,88
251,8.366666666666667,644,492,79
252,8.4,638,500,82
253,8.433333333333334,630,511,114
254,8.466666666666667,623,524,132
255,8.5,623,524,130
256,8.533333333333333,615,541,141
257,8.566666666666666,607,559,138
259,8.633333333333333,624,572,183
260,8.666666666666666,579,645,133
261,8.7,580,645,234
262,8.733333333333333,569,684,287
263,8.766666666666667,555,729,344
264,8.8,549,774,289
265,8.833333333333334,540,782,124
266,8.866666666666667,534,768,132
267,8.9,534,768,127
268,8.933333333333334,526,757,127
269,8.966666666666667,520,748,105
270,9.0,512,744,139
271,9.033333333333333,505,739,129
272,9.066666666666666,515,684,464
273,9.1,515,684,444
274,9.133333333333333,523,637,279
275,9.166666666666666,530,597,206
361,12.033333333333333,1141,412,164
362,12.066666666666666,756,567,522
363,12.1,672,602,3041
364,12.133333333333333,476,818,394
365,12.166666666666666,508,788,1626
366,12.2,620,534,470
367,12.233333333333333,651,663,295
368,12.266666666666667,509,710,401
369,12.3,512,709,463
370,12.333333333333334,504,687,395
371,12.366666666666667,518,673,465
372,12.4,540,663,542
373,12.433333333333334,557,659,464
374,12.466666666666667,573,659,354
375,12.5,572,659,314
376,12.533333333333333,580,669,202
377,12.566666666666666,600,688,329
378,12.6,626,710,315
379,12.633333333333333,654,723,154
380,12.666666666666666,678,727,256
381,12.7,678,727,247
382,12.733333333333333,698,727,189
383,12.766666666666667,708,724,192
388,12.933333333333334,793,764,197
389,12.966666666666667,792,767,277
390,13.0,792,772,347
391,13.033333333333333,792,777,407
392,13.066666666666666,784,785,1002
393,13.1,783,785,1040
394,13.133333333333333,784,785,1077
395,13.166666666666666,784,785,1060
396,13.2,784,785,1115
397,13.233333333333333,784,785,1095
398,13.266666666666667,785,785,1127
399,13.3,785,784,1121
400,13.333333333333334,788,783,1038
401,13.366666666666667,796,782,559
402,13.4,798,780,835
403,13.433333333333334,801,780,1147
404,13.466666666666667,816,777,856
405,13.5,815,777,904
406,13.533333333333333,826,778,844
407,13.566666666666666,839,779,837
408,13.6,852,780,798
409,13.633333333333333,868,778,856
410,13.666666666666666,887,776,824
411,13.7,887,777,841
412,13.733333333333333,901,767,1293
