frame,time,x,y,mask_area
0,0.0,1476,926,277
1,0.03333333333333333,1476,926,270
2,0.06666666666666667,1393,805,1115
3,0.1,1212,673,484
4,0.13333333333333333,1191,664,574
5,0.16666666666666666,1172,660,621
6,0.2,1160,656,490
7,0.23333333333333334,1159,656,443
8,0.26666666666666666,1149,653,379
9,0.3,1101,664,1232
10,0.3333333333333333,1077,670,1875
11,0.36666666666666664,1094,647,732
12,0.4,1081,642,810
13,0.43333333333333335,1080,642,798
14,0.4666666666666667,1063,642,1154
15,0.5,1056,626,813
16,0.5333333333333333,1045,612,832
17,0.5666666666666667,1035,600,809
18,0.6,1027,587,781
19,0.6333333333333333,1028,587,760
20,0.6666666666666666,1009,609,2172
21,0.7,1006,608,2351
22,0.7333333333333333,1003,611,2264
23,0.7666666666666667,1000,619,2244
24,0.8,998,629,2163
25,0.8333333333333334,998,629,2159
26,0.8666666666666667,995,637,1913
27,0.9,993,644,1583
28,0.9333333333333333,991,640,1231
29,0.9666666666666667,989,637,1144
30,1.0,987,633,1097
31,1.0333333333333334,987,633,1076
32,1.0666666666666667,982,629,1156
33,1.1,977,624,1155
34,1.1333333333333333,973,619,1321
35,1.1666666666666667,971,630,1982
36,1.2,962,623,2096
37,1.2333333333333334,963,623,2153
38,1.2666666666666666,957,616,2207
39,1.3,950,614,2405
40,1.3333333333333333,945,611,2353
41,1.3666666666666667,941,608,2497
42,1.4,938,607,2515
43,1.4333333333333333,938,606,2724
44,1.4666666666666666,934,605,2560
45,1.5,931,608,2605
46,1.5333333333333334,927,610,2591
47,1.5666666666666667,927,608,2257
48,1.6,928,603,2083
49,1.6333333333333333,928,603,2087
50,1.6666666666666667,930,596,1858
51,1.7,931,591,1768
52,1.7333333333333334,934,578,1402
53,1.7666666666666666,936,565,798
54,1.8,937,565,815
55,1.8333333333333333,937,564,774
56,1.8666666666666667,939,560,565
57,1.9,938,563,954
58,1.9333333333333333,944,565,794
59,1.9666666666666666,947,563,732
60,2.0,950,559,741
61,2.033333333333333,950,559,766
62,2.066666666666667,951,556,875
63,2.1,951,549,920
64,2.1333333333333333,949,538,926
65,2.1666666666666665,947,533,1042
66,2.2,943,533,1245
67,2.2333333333333334,943,533,1231
68,2.2666666666666666,939,532,1310
69,2.3,937,532,1286
70,2.3333333333333335,933,540,1452
71,2.3666666666666667,930,551,1538
72,2.4,926,568,1678
73,2.433333333333333,926,568,1712
74,2.466666666666667,921,576,1640
75,2.5,911,582,1485
76,2.533333333333333,898,586,1638
77,2.566666666666667,884,589,1697
78,2.6,870,585,1616
79,2.6333333333333333,870,585,1580
80,2.6666666666666665,858,582,1380
81,2.7,848,582,1263
82,2.7333333333333334,839,583,1225
83,2.7666666666666666,836,561,306
88,2.933333333333333,746,529,641
89,2.966666666666667,750,536,992
94,3.1333333333333333,749,535,835
95,3.1666666666666665,734,553,799
96,3.2,735,562,881
97,3.2333333333333334,735,560,1013
98,3.2666666666666666,737,564,897
99,3.3,738,562,1079
100,3.3333333333333335,736,563,1509
101,3.3666666666666667,733,583,1265
102,3.4,735,584,1309
103,3.433333333333333,735,583,1423
104,3.466666666666667,730,580,1092
105,3.5,594,574,1638
106,3.533333333333333,627,571,2915
107,3.566666666666667,636,506,1885
108,3.6,595,523,1497
109,3.6333333333333333,595,523,1538
110,3.6666666666666665,590,507,1851
111,3.7,581,491,1771
112,3.7333333333333334,576,480,1987
113,3.7666666666666666,568,467,1577
114,3.8,568,470,2238
115,3.8333333333333335,568,470,2236
116,3.8666666666666667,563,467,2226
117,3.9,562,470,2723
118,3.933333333333333,560,458,2395
119,3.966666666666667,559,463,3508
120,4.0,567,430,2370
121,4.033333333333333,567,430,2374
122,4.066666666666666,576,421,3254
123,4.1,601,407,2792
124,4.133333333333334,630,413,2543
125,4.166666666666667,658,439,3065
126,4.2,676,482,3739
127,4.233333333333333,675,483,3909
128,4.266666666666667,656,544,3237
132,4.4,524,597,648
133,4.433333333333334,517,628,1125
134,4.466666666666667,534,651,635
135,4.5,553,649,342
136,4.533333333333333,569,654,544
137,4.566666666666666,577,638,357
138,4.6,583,634,515
139,4.633333333333334,583,637,428
140,4.666666666666667,585,630,394
141,4.7,586,588,766
142,4.733333333333333,598,552,560
143,4.766666666666667,611,547,340
144,4.8,637,568,615
145,4.833333333333333,640,569,659
146,4.866666666666666,1040,485,1278
147,4.9,1079,462,1813
148,4.933333333333334,1091,472,279
149,4.966666666666667,724,533,155
150,5.0,1169,541,583
151,5.033333333333333,1169,541,622
152,5.066666666666666,1206,551,222
153,5.1,1224,529,195
154,5.133333333333334,1241,512,133
