frame,time,x,y,mask_area
0,0.0,1131,422,87
1,0.03333333333333333,1152,425,88
2,0.06666666666666667,1174,430,112
3,0.1,1174,430,110
4,0.13333333333333333,1197,438,135
5,0.16666666666666666,1221,449,140
6,0.2,1247,463,161
7,0.23333333333333334,1275,480,161
8,0.26666666666666666,1304,501,186
9,0.3,1304,500,180
10,0.3333333333333333,1335,525,210
11,0.36666666666666664,1367,554,258
12,0.4,1400,584,198
13,0.43333333333333335,1441,627,265
14,0.4666666666666667,1480,670,326
15,0.5,1481,670,261
16,0.5333333333333333,1520,718,281
17,0.5666666666666667,1571,683,203
18,0.6,1617,839,378
19,0.6333333333333333,1650,830,223
20,0.6666666666666666,1680,812,239
21,0.7,1680,812,226
22,0.7333333333333333,1711,798,234
23,0.7666666666666667,1748,787,313
24,0.8,1756,776,161
25,0.8333333333333334,1756,767,147
26,0.8666666666666667,1756,761,152
27,0.9,1755,761,151
28,0.9333333333333333,1755,759,163
29,0.9666666666666667,1755,762,165
30,1.0,1754,768,175
31,1.0333333333333334,1754,780,192
32,1.0666666666666667,1753,796,215
33,1.1,1753,796,224
34,1.1333333333333333,1753,816,241
35,1.1666666666666667,1752,843,342
36,1.2,1730,881,318
38,1.2666666666666666,1534,598,418
39,1.3,1535,599,525
40,1.3333333333333333,1485,544,375
41,1.3666666666666667,1444,502,285
42,1.4,1409,469,233
43,1.4333333333333333,1379,443,174
44,1.4666666666666666,1354,424,152
45,1.5,1354,423,140
46,1.5333333333333334,1345,414,66
47,1.5666666666666667,1354,416,69
48,1.6,1363,420,87
49,1.6333333333333333,1373,427,76
50,1.6666666666666667,1381,436,114
51,1.7,1382,436,121
52,1.7333333333333334,1392,448,95
53,1.7666666666666666,1403,463,124
54,1.8,1414,481,121
55,1.8333333333333333,1426,502,150
56,1.8666666666666667,1437,527,156
57,1.9,1437,527,144
58,1.9333333333333333,1450,555,144
59,1.9666666666666666,1456,582,174
60,2.0,1477,626,226
61,2.033333333333333,1491,668,286
62,2.066666666666667,1507,714,254
63,2.1,1507,715,217
64,2.1333333333333333,1522,768,262
65,2.1666666666666665,1534,762,123
68,2.2666666666666666,1561,721,121
69,2.3,1561,721,101
70,2.3333333333333335,1571,712,100
71,2.3666666666666667,1593,729,201
77,2.566666666666667,1224,531,2316
78,2.6,1202,522,2067
79,2.6333333333333333,1184,527,2555
80,2.6666666666666665,1168,537,2208
81,2.7,1168,537,2268
82,2.7333333333333334,1161,545,970
83,2.7666666666666666,1146,587,1132
84,2.8,1126,594,644
85,2.8333333333333335,960,513,173
86,2.8666666666666667,930,527,176
87,2.9,930,527,169
88,2.933333333333333,897,545,296
89,2.966666666666667,1134,676,640
90,3.0,1136,687,311
91,3.033333333333333,1113,544,69
92,3.066666666666667,945,652,255
93,3.1,996,642,399
94,3.1333333333333333,1199,664,960
95,3.1666666666666665,911,668,272
96,3.2,1007,670,1178
97,3.2333333333333334,742,646,1334
98,3.2666666666666666,674,628,1846
99,3.3,674,628,1924
100,3.3333333333333335,660,620,2144
101,3.3666666666666667,643,616,1297
102,3.4,622,607,544
103,3.433333333333333,726,609,845
104,3.466666666666667,672,599,800
105,3.5,628,563,854
106,3.533333333333333,506,613,188
107,3.566666666666667,484,622,194
108,3.6,459,635,119
109,3.6333333333333333,435,650,199
110,3.6666666666666665,409,666,227
111,3.7,408,666,232
112,3.7333333333333334,422,672,88
113,3.7666666666666666,431,683,101
114,3.8,352,776,866
115,3.8333333333333335,351,776,808
116,3.8666666666666667,351,776,812
117,3.9,351,776,813
118,3.933333333333333,351,776,827
119,3.966666666666667,351,776,821
120,4.0,351,776,800
121,4.033333333333333,351,774,696
122,4.066666666666666,348,774,638
123,4.1,348,774,638
124,4.133333333333334,344,769,202
140,4.666666666666667,1211,515,790
141,4.7,1215,534,444
142,4.733333333333333,1206,523,729
143,4.766666666666667,1202,514,747
144,4.8,1159,309,293
145,4.833333333333333,1192,382,631
146,4.866666666666666,1220,229,229
147,4.9,1220,232,269
148,4.933333333333334,1250,259,303
149,4.966666666666667,1283,295,371
150,5.0,1316,334,336
151,5.033333333333333,1247,329,735
152,5.066666666666666,1128,295,500
153,5.1,1128,295,506
154,5.133333333333334,1031,271,436
170,5.666666666666667,428,356,383
171,5.7,428,356,429
172,5.733333333333333,376,387,315
174,5.8,343,448,246
175,5.833333333333333,361,479,219
178,5.933333333333334,397,551,299
179,5.966666666666667,416,595,348
180,6.0,437,645,284
181,6.033333333333333,457,700,314
182,6.066666666666666,479,762,423
183,6.1,479,762,454
184,6.133333333333334,565,813,327
185,6.166666666666667,493,764,904
186,6.2,763,798,185
187,6.233333333333333,590,496,272
188,6.266666666666667,608,445,278
189,6.3,608,445,228
190,6.333333333333333,622,404,133
191,6.366666666666666,615,391,85
192,6.4,600,386,83
193,6.433333333333334,584,382,80
194,6.466666666666667,721,558,164
195,6.5,730,567,531
196,6.533333333333333,722,557,698
197,6.566666666666666,530,382,109
198,6.6,511,389,111
199,6.633333333333334,491,397,131
200,6.666666666666667,470,409,147
201,6.7,470,409,147
202,6.733333333333333,448,423,157
203,6.766666666666667,424,441,190
204,6.8,398,464,203
205,6.833333333333333,375,485,143
206,6.866666666666666,343,531,209
207,6.9,342,523,189
208,6.933333333333334,314,556,296
